,Unnamed: 0,Title,Metascore,Rated,Runtime,Released,Year,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score
3934,3934,Hellion,55.0,R,99 min,13 Jun 2014,2014,"Drama, Thriller","$46,110",6.1,"5,107",Internet Movie Database,6.1/10,Rotten Tomatoes,59%,Metacritic,55/100
3935,3935,How to Train Your Dragon 2,76.0,PG,102 min,13 Jun 2014,2014,"Animation, Action, Adventure, Family, Fantasy","$147,065,544",7.8,"282,424",Internet Movie Database,7.8/10,Rotten Tomatoes,92%,Metacritic,76/100
3939,3939,The Signal,54.0,PG-13,97 min,10 Jul 2014,2014,"Drama, Mystery, Sci-Fi, Thriller","$402,321",6.1,"58,790",Internet Movie Database,6.1/10,Rotten Tomatoes,60%,Metacritic,54/100
3942,3942,Rebound,36.0,PG,86 min,01 Jul 2005,2005,"Comedy, Family, Sport","$16,708,656",5.1,"11,841",Internet Movie Database,5.1/10,Rotten Tomatoes,14%,Metacritic,36/100
3943,3943,America: Imagine the World Without Her,15.0,PG-13,105 min,02 Jul 2014,2014,Documentary,"$14,438,086",5.4,"6,350",Internet Movie Database,5.4/10,Rotten Tomatoes,8%,Metacritic,15/100
3945,3945,Transformers: Age of Extinction,32.0,PG-13,165 min,27 Jun 2014,2014,"Action, Adventure, Sci-Fi","$206,755,538",5.6,"285,879",Internet Movie Database,5.6/10,Rotten Tomatoes,18%,Metacritic,32/100
3947,3947,Deliver Us from Evil,40.0,R,118 min,02 Jul 2014,2014,"Horror, Mystery, Thriller","$18,871,466",6.2,"64,316",Internet Movie Database,6.2/10,Rotten Tomatoes,28%,Metacritic,40/100
3950,3950,Tammy,39.0,R,97 min,02 Jul 2014,2014,"Comedy, Romance","$51,033,986",4.9,"44,852",Internet Movie Database,4.9/10,Rotten Tomatoes,24%,Metacritic,39/100
3951,3951,Boyhood,100.0,R,165 min,15 Aug 2014,2014,Drama,"$18,859,617",7.9,"317,913",Internet Movie Database,7.9/10,Rotten Tomatoes,97%,Metacritic,100/100
3952,3952,Dawn of the Planet of the Apes,79.0,PG-13,130 min,11 Jul 2014,2014,"Action, Adventure, Drama, Sci-Fi","$183,278,877",7.6,"393,126",Internet Movie Database,7.6/10,Rotten Tomatoes,91%,Metacritic,79/100
3956,3956,Persecuted,11.0,PG-13,91 min,18 Jul 2014,2014,"Action, Drama, Mystery, Thriller","$1,557,494",3.5,"1,456",Internet Movie Database,3.5/10,Rotten Tomatoes,0%,Metacritic,11/100
3957,3957,Planes: Fire & Rescue,48.0,PG,83 min,18 Jul 2014,2014,"Animation, Adventure, Comedy, Family","$42,622,300",6.0,"15,468",Internet Movie Database,6.0/10,Rotten Tomatoes,43%,Metacritic,48/100
3959,3959,Sex Tape,36.0,R,94 min,18 Jul 2014,2014,"Comedy, Romance","$34,279,302",5.1,"101,541",Internet Movie Database,5.1/10,Rotten Tomatoes,16%,Metacritic,36/100
3962,3962,And So It Goes,38.0,PG-13,94 min,25 Jul 2014,2014,"Comedy, Drama, Romance","$10,482,672",5.8,"11,734",Internet Movie Database,5.8/10,Rotten Tomatoes,18%,Metacritic,38/100
3963,3963,Happy Christmas,70.0,R,82 min,26 Jun 2014,2014,"Comedy, Drama","$28,853",5.5,"7,248",Internet Movie Database,5.5/10,Rotten Tomatoes,75%,Metacritic,70/100
3967,3967,Get on Up,71.0,PG-13,139 min,01 Aug 2014,2014,"Biography, Drama, Music","$22,838,662",6.9,"19,218",Internet Movie Database,6.9/10,Rotten Tomatoes,79%,Metacritic,71/100
3968,3968,Guardians of the Galaxy,76.0,PG-13,121 min,01 Aug 2014,2014,"Action, Adventure, Comedy, Sci-Fi","$270,592,504",8.1,"969,125",Internet Movie Database,8.1/10,Rotten Tomatoes,91%,Metacritic,76/100
3971,3971,The Hundred-Foot Journey,55.0,PG,122 min,08 Aug 2014,2014,"Comedy, Drama","$46,214,579",7.3,"70,279",Internet Movie Database,7.3/10,Rotten Tomatoes,66%,Metacritic,55/100
3972,3972,Into the Storm,44.0,PG-13,89 min,08 Aug 2014,2014,"Action, Adventure, Drama, Thriller","$40,613,055",5.8,"61,358",Internet Movie Database,5.8/10,Rotten Tomatoes,21%,Metacritic,44/100
3973,3973,Step Up All In,45.0,PG-13,112 min,08 Aug 2014,2014,"Drama, Music, Romance","$13,617,501",6.0,"30,724",Internet Movie Database,6.0/10,Rotten Tomatoes,42%,Metacritic,45/100
3976,3976,The Expendables 3,35.0,PG-13,126 min,15 Aug 2014,2014,"Action, Adventure, Thriller","$34,742,878",6.1,"158,190",Internet Movie Database,6.1/10,Rotten Tomatoes,32%,Metacritic,35/100
3977,3977,The Giver,47.0,PG-13,97 min,15 Aug 2014,2014,"Drama, Romance, Sci-Fi","$33,480,518",6.5,"106,079",Internet Movie Database,6.5/10,Rotten Tomatoes,35%,Metacritic,47/100
3979,3979,The One I Love,66.0,R,91 min,08 Aug 2014,2014,"Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller","$511,635",7.1,"31,646",Internet Movie Database,7.1/10,Rotten Tomatoes,82%,Metacritic,66/100
3982,3982,Love Is Strange,82.0,R,94 min,18 Dec 2014,2014,"Drama, Romance","$1,932,818",6.7,"11,574",Internet Movie Database,6.7/10,Rotten Tomatoes,94%,Metacritic,82/100
3984,3984,Sin City: A Dame to Kill For,46.0,R,102 min,22 Aug 2014,2014,"Action, Crime, Thriller","$11,064,709",6.5,"142,043",Internet Movie Database,6.5/10,Rotten Tomatoes,43%,Metacritic,46/100
3986,3986,Cake,49.0,R,102 min,23 Jan 2015,2014,Drama,"$1,319,947",6.4,"33,366",Internet Movie Database,6.4/10,Rotten Tomatoes,48%,Metacritic,49/100
3989,3989,Honeymoon,65.0,R,87 min,12 Sep 2014,2014,"Horror, Mystery, Thriller","$9,168",5.7,"23,149",Internet Movie Database,5.7/10,Rotten Tomatoes,74%,Metacritic,65/100
3990,3990,No Good Deed,26.0,PG-13,84 min,12 Sep 2014,2014,"Action, Crime, Drama, Horror, Thriller","$42,428,931",5.6,"16,300",Internet Movie Database,5.6/10,Rotten Tomatoes,11%,Metacritic,26/100
3991,3991,The Guest,76.0,R,100 min,05 Sep 2014,2014,"Action, Comedy, Crime, Horror, Mystery, Thriller","$642,285",6.7,"83,163",Internet Movie Database,6.7/10,Rotten Tomatoes,91%,Metacritic,76/100
3993,3993,The Maze Runner,57.0,PG-13,113 min,19 Sep 2014,2014,"Action, Mystery, Sci-Fi, Thriller","$98,537,272",6.8,"390,620",Internet Movie Database,6.8/10,Rotten Tomatoes,65%,Metacritic,57/100
3996,3996,This Is Where I Leave You,44.0,R,103 min,19 Sep 2014,2014,"Comedy, Drama","$26,730,317",6.6,"65,983",Internet Movie Database,6.6/10,Rotten Tomatoes,43%,Metacritic,44/100
3998,3998,The Boxtrolls,61.0,PG,96 min,26 Sep 2014,2014,"Animation, Adventure, Comedy, Family, Fantasy","$52,098,992",6.8,"51,316",Internet Movie Database,6.8/10,Rotten Tomatoes,77%,Metacritic,61/100
3999,3999,The Equalizer,57.0,R,132 min,26 Sep 2014,2014,"Action, Crime, Thriller","$85,212,969",7.2,"307,887",Internet Movie Database,7.2/10,Rotten Tomatoes,59%,Metacritic,57/100
4000,4000,The Song,42.0,PG-13,116 min,26 Sep 2014,2014,"Drama, Music, Romance","$5,520,506",6.0,"1,968",Internet Movie Database,6.0/10,Rotten Tomatoes,31%,Metacritic,42/100
4001,4001,The Two Faces of January,66.0,PG-13,96 min,28 Aug 2014,2014,"Romance, Thriller","$1,638,101",6.2,"27,734",Internet Movie Database,6.2/10,Rotten Tomatoes,80%,Metacritic,66/100
4006,4006,Left Behind,12.0,PG-13,110 min,03 Oct 2014,2014,"Action, Drama, Fantasy, Mystery, Thriller","$10,649,893",3.1,"34,203",Internet Movie Database,3.1/10,Rotten Tomatoes,1%,Metacritic,12/100
4008,4008,Addicted,32.0,R,106 min,10 Oct 2014,2014,"Drama, Thriller","$17,382,982",5.2,"7,723",Internet Movie Database,5.2/10,Rotten Tomatoes,8%,Metacritic,32/100
4009,4009,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",54.0,PG,81 min,10 Oct 2014,2014,"Comedy, Family","$56,752,482",6.2,"37,857",Internet Movie Database,6.2/10,Rotten Tomatoes,61%,Metacritic,54/100
4011,4011,The Judge,48.0,R,141 min,10 Oct 2014,2014,"Crime, Drama","$35,631,470",7.4,"164,924",Internet Movie Database,7.4/10,Rotten Tomatoes,48%,Metacritic,48/100
4016,4016,Camp X-Ray,54.0,R,117 min,17 Oct 2014,2014,"Drama, War","$9,837",6.9,"36,920",Internet Movie Database,6.9/10,Rotten Tomatoes,75%,Metacritic,54/100
4019,4019,Fury,64.0,R,134 min,17 Oct 2014,2014,"Action, Drama, War","$72,609,225",7.6,"387,559",Internet Movie Database,7.6/10,Rotten Tomatoes,76%,Metacritic,64/100
4025,4025,Ouija,38.0,PG-13,89 min,24 Oct 2014,2014,"Horror, Mystery, Thriller","$43,513,891",4.5,"44,702",Internet Movie Database,4.5/10,Rotten Tomatoes,6%,Metacritic,38/100
4026,4026,Interstellar,74.0,PG-13,169 min,07 Nov 2014,2014,"Adventure, Drama, Sci-Fi","$158,737,441",8.6,"1,323,520",Internet Movie Database,8.6/10,Rotten Tomatoes,72%,Metacritic,74/100
4034,4034,Beyond the Lights,73.0,PG-13,116 min,14 Nov 2014,2014,"Drama, Music, Romance","$14,617,945",6.9,"14,248",Internet Movie Database,6.9/10,Rotten Tomatoes,83%,Metacritic,73/100
4036,4036,Foxcatcher,81.0,R,134 min,16 Jan 2015,2014,"Biography, Drama, Sport","$9,744,477",7.0,"126,990",Internet Movie Database,7.0/10,Rotten Tomatoes,88%,Metacritic,81/100
4038,4038,Saving Christmas,18.0,PG,79 min,14 Nov 2014,2014,"Comedy, Family","$2,778,297",1.4,"14,349",Internet Movie Database,1.4/10,Rotten Tomatoes,0%,Metacritic,18/100
4040,4040,The Hunger Games: Mockingjay - Part 1,64.0,PG-13,123 min,21 Nov 2014,2014,"Action, Adventure, Sci-Fi, Thriller","$295,457,212",6.6,"383,745",Internet Movie Database,6.6/10,Rotten Tomatoes,69%,Metacritic,64/100
