Title,Metascore,Rated,Runtime,Released,Genre,Box Office,imdb_rating,imdb_votes,imdb_source,imdb_score,rotten_source,rotten_score,metacrit_source,metacrit_score,release_month,release_year
Pitch Perfect 2,63.0,PG-13,115 min,15 May 2015,"Comedy, Music",165744048.0,6.4,"132,146",Internet Movie Database,6.4,Rotten Tomatoes,6.6,Metacritic,6.3,05,2015
Tomorrowland,60.0,PG,130 min,22 May 2015,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",71526443.0,6.4,"162,834",Internet Movie Database,6.4,Rotten Tomatoes,5.0,Metacritic,6.0,05,2015
When Marnie Was There,72.0,PG,103 min,19 Jul 2014,"Animation, Drama, Family, Mystery",463187.0,7.7,"25,197",Internet Movie Database,7.7,Rotten Tomatoes,9.1,Metacritic,7.2,07,2014
Aloha,40.0,PG-13,105 min,29 May 2015,"Comedy, Drama, Romance",15669178.0,5.4,"56,169",Internet Movie Database,5.4,Rotten Tomatoes,2.0,Metacritic,4.0,05,2015
San Andreas,43.0,PG-13,114 min,29 May 2015,"Action, Adventure, Drama, Thriller",127666001.0,6.0,"195,586",Internet Movie Database,6.0,Rotten Tomatoes,5.0,Metacritic,4.3,05,2015
Spy,75.0,R,119 min,05 Jun 2015,"Action, Comedy, Crime",89914425.0,7.0,"216,317",Internet Movie Database,7.0,Rotten Tomatoes,9.5,Metacritic,7.5,06,2015
Love & Mercy,80.0,PG-13,121 min,19 Jun 2015,"Biography, Drama, Music",8790100.0,7.4,"32,677",Internet Movie Database,7.4,Rotten Tomatoes,9.0,Metacritic,8.0,06,2015
Jurassic World,59.0,PG-13,124 min,12 Jun 2015,"Action, Adventure, Sci-Fi",528757749.0,7.0,"544,726",Internet Movie Database,7.0,Rotten Tomatoes,7.2,Metacritic,5.9,06,2015
Dope,72.0,R,103 min,19 Jun 2015,"Comedy, Crime, Drama",11674449.0,7.2,"77,263",Internet Movie Database,7.2,Rotten Tomatoes,8.8,Metacritic,7.2,06,2015
Inside Out,94.0,PG,95 min,19 Jun 2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy",264317903.0,8.2,"547,221",Internet Movie Database,8.2,Rotten Tomatoes,9.8,Metacritic,9.4,06,2015
Max,47.0,PG,111 min,26 Jun 2015,"Adventure, Drama, Family, War",26714191.0,6.7,"24,262",Internet Movie Database,6.7,Rotten Tomatoes,3.8,Metacritic,4.7,06,2015
Ted 2,48.0,R,115 min,26 Jun 2015,Comedy,63883740.0,6.3,"168,600",Internet Movie Database,6.3,Rotten Tomatoes,4.5,Metacritic,4.8,06,2015
Terminator Genisys,38.0,PG-13,126 min,01 Jul 2015,"Action, Adventure, Sci-Fi",75614989.0,6.4,"237,362",Internet Movie Database,6.4,Rotten Tomatoes,2.6,Metacritic,3.8,07,2015
Minions,56.0,PG,91 min,10 Jul 2015,"Animation, Adventure, Comedy, Family, Sci-Fi",277969969.0,6.4,"196,856",Internet Movie Database,6.4,Rotten Tomatoes,5.5,Metacritic,5.6,07,2015
Ant-Man,64.0,PG-13,117 min,17 Jul 2015,"Action, Adventure, Comedy, Sci-Fi",138002223.0,7.3,"513,374",Internet Movie Database,7.3,Rotten Tomatoes,8.3,Metacritic,6.4,07,2015
Pixels,27.0,PG-13,105 min,24 Jul 2015,"Action, Comedy, Sci-Fi",66412009.0,5.6,"121,425",Internet Movie Database,5.6,Rotten Tomatoes,1.6,Metacritic,2.7,07,2015
Southpaw,57.0,R,124 min,24 Jul 2015,"Drama, Sport",42373328.0,7.4,"202,161",Internet Movie Database,7.4,Rotten Tomatoes,6.0,Metacritic,5.7,07,2015
Mission: Impossible - Rogue Nation,75.0,PG-13,131 min,31 Jul 2015,"Action, Adventure, Thriller",154979949.0,7.4,"316,314",Internet Movie Database,7.4,Rotten Tomatoes,9.3,Metacritic,7.5,07,2015
The Gift,77.0,R,108 min,07 Aug 2015,"Drama, Mystery, Thriller",33061006.0,7.0,"125,554",Internet Movie Database,7.0,Rotten Tomatoes,9.2,Metacritic,7.7,08,2015
Straight Outta Compton,72.0,R,147 min,14 Aug 2015,"Biography, Drama, History, Music",129402415.0,7.9,"167,076",Internet Movie Database,7.9,Rotten Tomatoes,8.8,Metacritic,7.2,08,2015
The Man from U.N.C.L.E.,56.0,PG-13,116 min,14 Aug 2015,"Action, Adventure, Comedy",38140180.0,7.3,"243,810",Internet Movie Database,7.3,Rotten Tomatoes,6.6,Metacritic,5.6,08,2015
No Escape,38.0,R,103 min,26 Aug 2015,"Action, Thriller",27274112.0,6.8,"71,082",Internet Movie Database,6.8,Rotten Tomatoes,4.6,Metacritic,3.8,08,2015
The Visit,55.0,PG-13,94 min,11 Sep 2015,"Horror, Mystery, Thriller",56499874.0,6.2,"104,031",Internet Movie Database,6.2,Rotten Tomatoes,6.7,Metacritic,5.5,09,2015
Black Mass,68.0,R,123 min,18 Sep 2015,"Biography, Crime, Drama",48786443.0,6.9,"157,336",Internet Movie Database,6.9,Rotten Tomatoes,7.3,Metacritic,6.8,09,2015
Everest,64.0,PG-13,121 min,25 Sep 2015,"Action, Adventure, Biography, Drama, Thriller",46529055.0,7.1,"182,579",Internet Movie Database,7.1,Rotten Tomatoes,7.3,Metacritic,6.4,09,2015
The Martian,80.0,PG-13,144 min,02 Oct 2015,"Adventure, Drama, Sci-Fi",202313768.0,8.0,"690,895",Internet Movie Database,8.0,Rotten Tomatoes,9.1,Metacritic,8.0,10,2015
Steve Jobs,82.0,R,122 min,23 Oct 2015,"Biography, Drama",12403169.0,7.2,"140,471",Internet Movie Database,7.2,Rotten Tomatoes,8.6,Metacritic,8.2,10,2015
Crimson Peak,66.0,R,119 min,16 Oct 2015,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",25957696.0,6.5,"120,496",Internet Movie Database,6.5,Rotten Tomatoes,7.3,Metacritic,6.6,10,2015
The Peanuts Movie,67.0,G,88 min,06 Nov 2015,"Animation, Adventure, Comedy, Drama, Family",106132048.0,7.1,"39,579",Internet Movie Database,7.1,Rotten Tomatoes,8.7,Metacritic,6.7,11,2015
Carol,95.0,R,118 min,15 Jan 2016,"Drama, Romance",8518148.0,7.2,"102,455",Internet Movie Database,7.2,Rotten Tomatoes,9.4,Metacritic,9.5,01,2016
The Hunger Games: Mockingjay - Part 2,65.0,PG-13,137 min,20 Nov 2015,"Action, Adventure, Sci-Fi, Thriller",254641329.0,6.5,"257,098",Internet Movie Database,6.5,Rotten Tomatoes,7.0,Metacritic,6.5,11,2015
Creed,82.0,PG-13,133 min,25 Nov 2015,"Drama, Sport",81157671.0,7.6,"228,794",Internet Movie Database,7.6,Rotten Tomatoes,9.5,Metacritic,8.2,11,2015
The Good Dinosaur,66.0,PG,93 min,25 Nov 2015,"Animation, Adventure, Comedy, Drama, Family, Fantasy",123087120.0,6.7,"92,940",Internet Movie Database,6.7,Rotten Tomatoes,7.6,Metacritic,6.6,11,2015
In the Heart of the Sea,47.0,PG-13,122 min,11 Dec 2015,"Action, Adventure, Biography, Drama, History",19043843.0,6.9,"110,081",Internet Movie Database,6.9,Rotten Tomatoes,4.3,Metacritic,4.7,12,2015
Concussion,55.0,PG-13,123 min,25 Dec 2015,"Biography, Drama, Sport",23268108.0,7.1,"78,860",Internet Movie Database,7.1,Rotten Tomatoes,5.9,Metacritic,5.5,12,2015
Joy,56.0,PG-13,124 min,25 Dec 2015,Drama,42581369.0,6.6,"119,318",Internet Movie Database,6.6,Rotten Tomatoes,6.0,Metacritic,5.6,12,2015
The Hateful Eight,68.0,R,168 min,30 Dec 2015,"Crime, Drama, Mystery, Thriller, Western",54116191.0,7.8,"452,556",Internet Movie Database,7.8,Rotten Tomatoes,7.4,Metacritic,6.8,12,2015
The Forest,34.0,PG-13,93 min,08 Jan 2016,"Horror, Mystery, Thriller",21818536.0,4.8,"36,936",Internet Movie Database,4.8,Rotten Tomatoes,1.0,Metacritic,3.4,01,2016
Anesthesia,55.0,R,90 min,08 Jan 2016,"Crime, Drama, Thriller",22386.0,6.1,"3,823",Internet Movie Database,6.1,Rotten Tomatoes,2.6,Metacritic,5.5,01,2016
Norm of the North,21.0,PG,90 min,15 Jan 2016,"Animation, Adventure, Comedy, Family",12320716.0,3.5,"8,031",Internet Movie Database,3.5,Rotten Tomatoes,0.9,Metacritic,2.1,01,2016
Dirty Grandpa,21.0,R,102 min,22 Jan 2016,Comedy,34690808.0,5.9,"103,325",Internet Movie Database,5.9,Rotten Tomatoes,1.1,Metacritic,2.1,01,2016
The Boy,42.0,PG-13,97 min,22 Jan 2016,"Horror, Mystery, Thriller",30196680.0,6.0,"69,923",Internet Movie Database,6.0,Rotten Tomatoes,3.0,Metacritic,4.2,01,2016
Kung Fu Panda 3,66.0,PG,95 min,29 Jan 2016,"Animation, Action, Adventure, Comedy, Family, Fantasy",128341070.0,7.1,"118,714",Internet Movie Database,7.1,Rotten Tomatoes,8.7,Metacritic,6.6,01,2016
The Finest Hours,58.0,PG-13,117 min,29 Jan 2016,"Action, Drama, History, Thriller",20278493.0,6.7,"56,721",Internet Movie Database,6.7,Rotten Tomatoes,6.4,Metacritic,5.8,01,2016
Jane Got a Gun,49.0,R,98 min,29 Jan 2016,"Action, Drama, Western",976847.0,5.9,"19,329",Internet Movie Database,5.9,Rotten Tomatoes,4.3,Metacritic,4.9,01,2016
"Hail, Caesar!",72.0,PG-13,106 min,05 Feb 2016,"Comedy, Drama, Music, Mystery",27927631.0,6.3,"112,917",Internet Movie Database,6.3,Rotten Tomatoes,8.6,Metacritic,7.2,02,2016
The Choice,26.0,PG-13,111 min,05 Feb 2016,"Drama, Romance",15285347.0,6.6,"30,918",Internet Movie Database,6.6,Rotten Tomatoes,1.1,Metacritic,2.6,02,2016
Deadpool,65.0,R,108 min,12 Feb 2016,"Action, Adventure, Comedy, Sci-Fi",328674489.0,8.0,"833,944",Internet Movie Database,8.0,Rotten Tomatoes,8.4,Metacritic,6.5,02,2016
Zoolander 2,34.0,PG-13,101 min,12 Feb 2016,"Action, Comedy",29782560.0,4.7,"60,580",Internet Movie Database,4.7,Rotten Tomatoes,2.3,Metacritic,3.4,02,2016
The Witch,83.0,R,92 min,19 Feb 2016,"Horror, Mystery",19239494.0,6.8,"159,961",Internet Movie Database,6.8,Rotten Tomatoes,9.0,Metacritic,8.3,02,2016
Race,56.0,PG-13,134 min,19 Feb 2016,"Biography, Drama, Sport",14319394.0,7.1,"31,350",Internet Movie Database,7.1,Rotten Tomatoes,6.1,Metacritic,5.6,02,2016
Gods of Egypt,25.0,PG-13,127 min,26 Feb 2016,"Action, Adventure, Fantasy",31141074.0,5.4,"96,468",Internet Movie Database,5.4,Rotten Tomatoes,1.6,Metacritic,2.5,02,2016
Eddie the Eagle,54.0,PG-13,106 min,26 Feb 2016,"Biography, Comedy, Drama, Sport",20047049.0,7.4,"77,038",Internet Movie Database,7.4,Rotten Tomatoes,8.2,Metacritic,5.4,02,2016
Zootopia,78.0,PG,108 min,04 Mar 2016,"Animation, Adventure, Comedy, Crime, Family, Mystery",341264012.0,8.0,"391,862",Internet Movie Database,8.0,Rotten Tomatoes,9.7,Metacritic,7.8,03,2016
Whiskey Tango Foxtrot,57.0,R,112 min,04 Mar 2016,"Biography, Comedy, Drama, War",18356529.0,6.6,"46,697",Internet Movie Database,6.6,Rotten Tomatoes,6.8,Metacritic,5.7,03,2016
10 Cloverfield Lane,76.0,PG-13,103 min,11 Mar 2016,"Drama, Horror, Mystery, Sci-Fi, Thriller",59481553.0,7.2,"264,442",Internet Movie Database,7.2,Rotten Tomatoes,9.0,Metacritic,7.6,03,2016
The Perfect Match,41.0,R,96 min,11 Mar 2016,"Comedy, Romance",7428856.0,4.9,"3,108",Internet Movie Database,4.9,Rotten Tomatoes,2.5,Metacritic,4.1,03,2016
"Hello, My Name Is Doris",63.0,R,90 min,01 Apr 2016,"Comedy, Drama, Romance",14443077.0,6.6,"17,588",Internet Movie Database,6.6,Rotten Tomatoes,8.4,Metacritic,6.3,04,2016
The Bronze,44.0,R,100 min,18 Mar 2016,"Comedy, Drama, Sport",614920.0,6.0,"9,132",Internet Movie Database,6.0,Rotten Tomatoes,3.5,Metacritic,4.4,03,2016
Midnight Special,76.0,PG-13,112 min,21 Apr 2016,"Drama, Mystery, Sci-Fi, Thriller",3324164.0,6.6,"68,765",Internet Movie Database,6.6,Rotten Tomatoes,8.3,Metacritic,7.6,04,2016
Batman v Superman: Dawn of Justice,44.0,PG-13,151 min,25 Mar 2016,"Action, Adventure, Sci-Fi",293792936.0,6.5,"582,918",Internet Movie Database,6.5,Rotten Tomatoes,2.8,Metacritic,4.4,03,2016
My Big Fat Greek Wedding 2,37.0,PG-13,94 min,25 Mar 2016,"Comedy, Romance",52069651.0,6.0,"26,299",Internet Movie Database,6.0,Rotten Tomatoes,2.8,Metacritic,3.7,03,2016
The Boss,40.0,R,99 min,08 Apr 2016,Comedy,54489847.0,5.4,"39,838",Internet Movie Database,5.4,Rotten Tomatoes,2.2,Metacritic,4.0,04,2016
Demolition,49.0,R,101 min,08 Apr 2016,"Comedy, Drama",1656098.0,7.0,"79,785",Internet Movie Database,7.0,Rotten Tomatoes,5.3,Metacritic,4.9,04,2016
The Invitation,74.0,Not Rated,100 min,08 Apr 2016,"Drama, Horror, Mystery, Thriller",231703.0,6.6,"72,901",Internet Movie Database,6.6,Rotten Tomatoes,8.8,Metacritic,7.4,04,2016
The Jungle Book,77.0,PG,106 min,15 Apr 2016,"Adventure, Drama, Family, Fantasy",363995937.0,7.4,"244,054",Internet Movie Database,7.4,Rotten Tomatoes,9.5,Metacritic,7.7,04,2016
Barbershop: The Next Cut,67.0,PG-13,111 min,15 Apr 2016,"Comedy, Drama",54014580.0,5.9,"13,458",Internet Movie Database,5.9,Rotten Tomatoes,9.0,Metacritic,6.7,04,2016
Green Room,79.0,R,95 min,13 May 2016,"Horror, Music, Thriller",3219029.0,7.0,"92,964",Internet Movie Database,7.0,Rotten Tomatoes,9.0,Metacritic,7.9,05,2016
The Huntsman: Winter's War,35.0,PG-13,114 min,22 Apr 2016,"Action, Adventure, Drama, Fantasy",46445229.0,6.1,"89,062",Internet Movie Database,6.1,Rotten Tomatoes,1.8,Metacritic,3.5,04,2016
Elvis & Nixon,59.0,R,86 min,21 Apr 2016,"Comedy, History",725324.0,6.4,"12,142",Internet Movie Database,6.4,Rotten Tomatoes,7.7,Metacritic,5.9,04,2016
Mother's Day,18.0,PG-13,118 min,29 Apr 2016,"Comedy, Drama, Romance",29149230.0,5.7,"29,495",Internet Movie Database,5.7,Rotten Tomatoes,0.6,Metacritic,1.8,04,2016
Captain America: Civil War,75.0,PG-13,147 min,06 May 2016,"Action, Adventure, Sci-Fi",408080554.0,7.8,"597,664",Internet Movie Database,7.8,Rotten Tomatoes,9.1,Metacritic,7.5,05,2016
The Darkness,27.0,PG-13,92 min,13 May 2016,"Horror, Thriller",10732841.0,4.4,"12,599",Internet Movie Database,4.4,Rotten Tomatoes,0.3,Metacritic,2.7,05,2016
Love & Friendship,87.0,PG,90 min,03 Jun 2016,"Comedy, Drama, Romance",14013564.0,6.4,"21,422",Internet Movie Database,6.4,Rotten Tomatoes,9.7,Metacritic,8.7,06,2016
The Angry Birds Movie,43.0,PG,97 min,20 May 2016,"Animation, Comedy, Family",107506776.0,6.3,"71,538",Internet Movie Database,6.3,Rotten Tomatoes,4.3,Metacritic,4.3,05,2016
The Nice Guys,70.0,R,116 min,20 May 2016,"Action, Comedy, Crime, Mystery, Thriller",32261515.0,7.4,"245,818",Internet Movie Database,7.4,Rotten Tomatoes,9.3,Metacritic,7.0,05,2016
X-Men: Apocalypse,52.0,PG-13,144 min,27 May 2016,"Action, Adventure, Sci-Fi",135729385.0,6.9,"365,602",Internet Movie Database,6.9,Rotten Tomatoes,4.7,Metacritic,5.2,05,2016
Alice Through the Looking Glass,34.0,PG,113 min,27 May 2016,"Adventure, Family, Fantasy",77037635.0,6.2,"81,583",Internet Movie Database,6.2,Rotten Tomatoes,2.9,Metacritic,3.4,05,2016
Me Before You,51.0,PG-13,106 min,03 Jun 2016,"Drama, Romance",56228651.0,7.4,"180,143",Internet Movie Database,7.4,Rotten Tomatoes,5.5,Metacritic,5.1,06,2016
The Conjuring 2,65.0,R,134 min,10 Jun 2016,"Horror, Mystery, Thriller",102461593.0,7.3,"200,809",Internet Movie Database,7.3,Rotten Tomatoes,8.0,Metacritic,6.5,06,2016
Warcraft: The Beginning,32.0,PG-13,123 min,10 Jun 2016,"Action, Adventure, Fantasy",44765679.0,6.8,"228,297",Internet Movie Database,6.8,Rotten Tomatoes,2.8,Metacritic,3.2,06,2016
Now You See Me 2,46.0,PG-13,129 min,10 Jun 2016,"Action, Adventure, Comedy, Crime, Mystery, Thriller",65030563.0,6.5,"221,224",Internet Movie Database,6.5,Rotten Tomatoes,3.4,Metacritic,4.6,06,2016
Finding Dory,77.0,PG,97 min,17 Jun 2016,"Animation, Adventure, Comedy, Family",486292984.0,7.3,"218,175",Internet Movie Database,7.3,Rotten Tomatoes,9.4,Metacritic,7.7,06,2016
Central Intelligence,52.0,PG-13,107 min,17 Jun 2016,"Action, Comedy, Crime",127380061.0,6.3,"142,652",Internet Movie Database,6.3,Rotten Tomatoes,7.1,Metacritic,5.2,06,2016
Independence Day: Resurgence,32.0,PG-13,120 min,24 Jun 2016,"Action, Adventure, Sci-Fi",103137295.0,5.2,"157,023",Internet Movie Database,5.2,Rotten Tomatoes,2.9,Metacritic,3.2,06,2016
The Shallows,59.0,PG-13,86 min,24 Jun 2016,"Drama, Horror, Thriller",55121623.0,6.3,"109,797",Internet Movie Database,6.3,Rotten Tomatoes,7.9,Metacritic,5.9,06,2016
The Legend of Tarzan,44.0,PG-13,110 min,01 Jul 2016,"Action, Adventure, Drama, Fantasy, Romance",126585313.0,6.2,"152,310",Internet Movie Database,6.2,Rotten Tomatoes,3.6,Metacritic,4.4,07,2016
The BFG,66.0,PG,117 min,01 Jul 2016,"Adventure, Family, Fantasy",55472665.0,6.4,"70,285",Internet Movie Database,6.4,Rotten Tomatoes,7.5,Metacritic,6.6,07,2016
The Secret Life of Pets,61.0,PG,87 min,08 Jul 2016,"Animation, Adventure, Comedy, Family",368305960.0,6.5,"167,193",Internet Movie Database,6.5,Rotten Tomatoes,7.3,Metacritic,6.1,07,2016
Mike and Dave Need Wedding Dates,51.0,R,98 min,08 Jul 2016,"Comedy, Romance",46007113.0,6.0,"76,511",Internet Movie Database,6.0,Rotten Tomatoes,3.7,Metacritic,5.1,07,2016
The Infiltrator,66.0,R,127 min,13 Jul 2016,"Biography, Crime, Drama, Thriller",15425870.0,7.0,"62,226",Internet Movie Database,7.0,Rotten Tomatoes,7.1,Metacritic,6.6,07,2016
Star Trek Beyond,68.0,PG-13,122 min,22 Jul 2016,"Action, Adventure, Sci-Fi, Thriller",158804470.0,7.1,"212,108",Internet Movie Database,7.1,Rotten Tomatoes,8.6,Metacritic,6.8,07,2016
Ice Age: Collision Course,34.0,PG,94 min,22 Jul 2016,"Animation, Adventure, Comedy, Family, Fantasy, Romance, Sci-Fi",64060187.0,5.7,"50,154",Internet Movie Database,5.7,Rotten Tomatoes,1.7,Metacritic,3.4,07,2016
Lights Out,58.0,PG-13,81 min,22 Jul 2016,"Drama, Horror, Mystery, Thriller",67235683.0,6.3,"102,879",Internet Movie Database,6.3,Rotten Tomatoes,7.6,Metacritic,5.8,07,2016
Jason Bourne,58.0,PG-13,123 min,29 Jul 2016,"Action, Thriller",162162120.0,6.6,"192,849",Internet Movie Database,6.6,Rotten Tomatoes,5.5,Metacritic,5.8,07,2016
Bad Moms,60.0,R,100 min,29 Jul 2016,Comedy,113217955.0,6.2,"102,794",Internet Movie Database,6.2,Rotten Tomatoes,5.8,Metacritic,6.0,07,2016
Nerve,58.0,PG-13,96 min,27 Jul 2016,"Action, Adventure, Crime, Drama, Mystery, Thriller",38562379.0,6.5,"104,461",Internet Movie Database,6.5,Rotten Tomatoes,6.7,Metacritic,5.8,07,2016
Suicide Squad,40.0,PG-13,123 min,05 Aug 2016,"Action, Adventure, Fantasy, Sci-Fi",325021779.0,6.0,"543,236",Internet Movie Database,6.0,Rotten Tomatoes,2.7,Metacritic,4.0,08,2016
Nine Lives,11.0,PG,87 min,05 Aug 2016,"Comedy, Drama, Family, Fantasy",19637449.0,5.3,"18,848",Internet Movie Database,5.3,Rotten Tomatoes,1.4,Metacritic,1.1,08,2016
Pete's Dragon,71.0,PG,102 min,12 Aug 2016,"Action, Adventure, Comedy, Family, Fantasy",76228119.0,6.7,"49,926",Internet Movie Database,6.7,Rotten Tomatoes,8.8,Metacritic,7.1,08,2016
Sausage Party,66.0,R,89 min,12 Aug 2016,"Animation, Adventure, Comedy, Fantasy",97661826.0,6.2,"161,346",Internet Movie Database,6.2,Rotten Tomatoes,8.3,Metacritic,6.6,08,2016
Florence Foster Jenkins,71.0,PG-13,111 min,12 Aug 2016,"Biography, Comedy, Drama, Music",27370107.0,6.8,"45,654",Internet Movie Database,6.8,Rotten Tomatoes,8.8,Metacritic,7.1,08,2016
Kubo and the Two Strings,84.0,PG,101 min,19 Aug 2016,"Animation, Action, Adventure, Family, Fantasy",48019281.0,7.8,"107,790",Internet Movie Database,7.8,Rotten Tomatoes,9.7,Metacritic,8.4,08,2016
War Dogs,57.0,R,114 min,19 Aug 2016,"Biography, Comedy, Crime, Drama, War",43017433.0,7.1,"157,401",Internet Movie Database,7.1,Rotten Tomatoes,6.1,Metacritic,5.7,08,2016
Mechanic: Resurrection,38.0,R,98 min,26 Aug 2016,"Action, Adventure, Thriller",21203260.0,5.7,"68,793",Internet Movie Database,5.7,Rotten Tomatoes,3.2,Metacritic,3.8,08,2016
Don't Breathe,71.0,R,88 min,26 Aug 2016,"Crime, Horror, Thriller",89210468.0,7.1,"191,380",Internet Movie Database,7.1,Rotten Tomatoes,8.8,Metacritic,7.1,08,2016
Hands of Stone,54.0,R,111 min,26 Aug 2016,"Action, Biography, Drama, Sport",4711216.0,6.6,"13,107",Internet Movie Database,6.6,Rotten Tomatoes,4.4,Metacritic,5.4,08,2016
The Light Between Oceans,60.0,PG-13,133 min,02 Sep 2016,"Drama, Romance",12533911.0,7.2,"47,169",Internet Movie Database,7.2,Rotten Tomatoes,6.1,Metacritic,6.0,09,2016
Morgan,48.0,R,92 min,02 Sep 2016,"Action, Horror, Sci-Fi, Thriller",3912052.0,5.8,"36,035",Internet Movie Database,5.8,Rotten Tomatoes,3.7,Metacritic,4.8,09,2016
Sully,74.0,PG-13,96 min,09 Sep 2016,"Biography, Drama",125065700.0,7.4,"207,983",Internet Movie Database,7.4,Rotten Tomatoes,8.5,Metacritic,7.4,09,2016
When the Bough Breaks,28.0,PG-13,107 min,09 Sep 2016,"Crime, Drama, Horror, Mystery, Romance, Thriller",29740655.0,5.1,"4,929",Internet Movie Database,5.1,Rotten Tomatoes,1.3,Metacritic,2.8,09,2016
The Wild Life,36.0,PG,91 min,09 Sep 2016,"Animation, Adventure, Comedy, Family",7965609.0,5.3,"5,155",Internet Movie Database,5.3,Rotten Tomatoes,1.7,Metacritic,3.6,09,2016
The Disappointments Room,31.0,R,85 min,09 Sep 2016,"Drama, Horror, Thriller",2411580.0,3.9,"8,320",Internet Movie Database,3.9,Rotten Tomatoes,0.0,Metacritic,3.1,09,2016
Bridget Jones's Baby,59.0,R,123 min,16 Sep 2016,"Comedy, Drama, Romance",24089465.0,6.5,"61,446",Internet Movie Database,6.5,Rotten Tomatoes,7.8,Metacritic,5.9,09,2016
Snowden,58.0,R,134 min,16 Sep 2016,"Biography, Drama, Thriller",21562346.0,7.3,"121,431",Internet Movie Database,7.3,Rotten Tomatoes,6.0,Metacritic,5.8,09,2016
Blair Witch,47.0,R,89 min,16 Sep 2016,"Horror, Mystery, Thriller",20747013.0,5.0,"37,503",Internet Movie Database,5.0,Rotten Tomatoes,3.7,Metacritic,4.7,09,2016
Hillsong: Let Hope Rise,43.0,PG,103 min,16 Sep 2016,"Documentary, Family, Music",2379745.0,6.4,789,Internet Movie Database,6.4,Rotten Tomatoes,6.0,Metacritic,4.3,09,2016
The Magnificent Seven,54.0,PG-13,132 min,23 Sep 2016,"Action, Adventure, Western",93381044.0,6.9,"170,690",Internet Movie Database,6.9,Rotten Tomatoes,6.4,Metacritic,5.4,09,2016
Storks,56.0,PG,87 min,23 Sep 2016,"Animation, Adventure, Comedy, Family, Fantasy",72655779.0,6.8,"51,267",Internet Movie Database,6.8,Rotten Tomatoes,6.6,Metacritic,5.6,09,2016
Miss Peregrine's Home for Peculiar Children,57.0,PG-13,127 min,30 Sep 2016,"Adventure, Drama, Fantasy, Thriller",87240689.0,6.7,"142,680",Internet Movie Database,6.7,Rotten Tomatoes,6.4,Metacritic,5.7,09,2016
Deepwater Horizon,68.0,PG-13,107 min,30 Sep 2016,"Action, Drama, History, Thriller",73098411.0,7.1,"135,716",Internet Movie Database,7.1,Rotten Tomatoes,8.3,Metacritic,6.8,09,2016
Masterminds,47.0,PG-13,95 min,30 Sep 2016,"Comedy, Crime",17356894.0,5.8,"45,989",Internet Movie Database,5.8,Rotten Tomatoes,3.3,Metacritic,4.7,09,2016
The Girl on the Train,48.0,R,112 min,07 Oct 2016,"Crime, Drama, Mystery, Thriller",75311445.0,6.5,"154,304",Internet Movie Database,6.5,Rotten Tomatoes,4.5,Metacritic,4.8,10,2016
Middle School: The Worst Years of My Life,51.0,PG,92 min,07 Oct 2016,"Comedy, Family",19985196.0,6.1,"6,641",Internet Movie Database,6.1,Rotten Tomatoes,6.3,Metacritic,5.1,10,2016
The Accountant,51.0,R,128 min,14 Oct 2016,"Action, Crime, Drama, Thriller",86198014.0,7.3,"237,649",Internet Movie Database,7.3,Rotten Tomatoes,5.1,Metacritic,5.1,10,2016
Kevin Hart: What Now?,60.0,R,96 min,14 Oct 2016,"Documentary, Comedy",23564630.0,5.9,"8,273",Internet Movie Database,5.9,Rotten Tomatoes,7.5,Metacritic,6.0,10,2016
Max Steel,22.0,PG-13,92 min,14 Oct 2016,"Action, Adventure, Family, Fantasy, Sci-Fi",3771397.0,4.6,"17,081",Internet Movie Database,4.6,Rotten Tomatoes,0.0,Metacritic,2.2,10,2016
Jack Reacher: Never Go Back,47.0,PG-13,118 min,21 Oct 2016,"Action, Crime, Thriller",58676235.0,6.1,"124,896",Internet Movie Database,6.1,Rotten Tomatoes,3.7,Metacritic,4.7,10,2016
Keeping Up with the Joneses,34.0,PG-13,105 min,21 Oct 2016,"Action, Comedy",14896798.0,5.9,"52,494",Internet Movie Database,5.9,Rotten Tomatoes,1.8,Metacritic,3.4,10,2016
Ouija: Origin of Evil,65.0,PG-13,99 min,21 Oct 2016,"Drama, Horror, Mystery, Thriller",34904885.0,6.1,"48,197",Internet Movie Database,6.1,Rotten Tomatoes,8.2,Metacritic,6.5,10,2016
Boo! A Madea Halloween,30.0,PG-13,103 min,21 Oct 2016,"Comedy, Drama, Horror",73159525.0,4.6,"7,004",Internet Movie Database,4.6,Rotten Tomatoes,2.0,Metacritic,3.0,10,2016
I'm Not Ashamed,31.0,PG-13,112 min,02 Mar 2018,"Biography, Drama",2080932.0,5.8,"2,872",Internet Movie Database,5.8,Rotten Tomatoes,2.0,Metacritic,3.1,03,2018
American Pastoral,43.0,R,108 min,21 Oct 2016,"Crime, Drama",541457.0,6.1,"13,257",Internet Movie Database,6.1,Rotten Tomatoes,2.1,Metacritic,4.3,10,2016
Inferno,42.0,PG-13,121 min,28 Oct 2016,"Action, Adventure, Crime, Drama, Mystery, Thriller",34307024.0,6.2,"141,290",Internet Movie Database,6.2,Rotten Tomatoes,2.3,Metacritic,4.2,10,2016
